run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
turboquant,46,3,2,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,medium,1522,175202,887,11,5,stop,False,1125.009,102.27354545454546,9.777699556181327,175497.954,197.85564148816235,5.054189976482575,176724,"0.2,0.1,0.2","23624.4,21162.7,22021.5","18447.8,15466.2,533086.8",N/A
turboquant,46,3,3,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,medium,1595,212981,1024,12,3,length,True,1211.429,100.95241666666668,9.905656872998748,213266.649,208.2682119140625,4.801500866645117,214576,"0.2,0.2,0.2","27648.4,24762.3,25732.0","21530.2,17835.5,616224.8",N/A
turboquant,46,1,1,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1611,27934,197,12,3,stop,False,1224.632,102.05266666666667,9.798862025490106,28226.25,143.28045685279187,6.979318896417342,29546,"0.1,0.1,0.1","4603.5,4227.0,4450.7","3666.0,3288.8,114944.0",N/A
turboquant,46,1,2,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1298,136726,736,9,6,stop,False,929.967,103.32966666666667,9.677762759323716,137015.516,186.1623858695652,5.371654404454456,138024,"0.1,0.1,0.1","19165.7,17256.5,18004.0","15018.7,12765.2,443111.8",N/A
turboquant,46,1,3,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1310,90899,535,9,6,stop,False,927.057,103.00633333333333,9.708140923373644,91186.874,170.4427551401869,5.867072491157006,92209,"0.1,0.1,0.1","13868.1,12555.6,13091.6","10687.6,9255.2,320935.9",N/A
turboquant,46,2,1,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1318,27848,197,9,6,stop,False,931.89,103.54333333333334,9.65779222869652,28141.43,142.84989847715735,7.000354992621199,29166,"0.1,0.1,0.1","4566.8,4222.2,4395.3","3681.8,3264.8,113692.7",N/A
turboquant,46,2,2,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1308,84225,503,9,6,stop,False,933.311,103.70122222222223,9.643087888174467,84519.837,168.03148508946322,5.951265618271366,85533,"0.1,0.1,0.1","13157.1,11936.0,12396.7","9955.5,8724.4,300759.5",N/A
turboquant,46,2,3,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1306,16514,123,9,6,stop,False,930.792,103.42133333333334,9.669184952169765,16802.896,136.6089105691057,7.3201667141188045,17821,"0.1,0.1,0.1","2734.1,2540.9,2642.0","2201.7,1960.0,69073.7",N/A
turboquant,46,3,1,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1424,55032,356,9,6,stop,False,931.631,103.51455555555555,9.66047716316868,55449.022,155.7556797752809,6.4203116152346205,56457,"0.1,0.1,0.1","8808.4,8042.2,8362.8","6914.8,5985.6,211426.7",N/A
turboquant,46,3,2,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1295,96716,563,9,6,stop,False,925.672,102.85244444444444,9.722666344018183,97004.408,172.29912611012432,5.803859964796651,98011,"0.1,0.1,0.1","14431.6,13040.3,13543.7","11261.7,9601.8,337337.5",N/A
