run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
vanilla,46,1,2,8,1,granite-4.1-8b-q4_k_m,vanilla,short,13583,67850,211,20,12,stop,False,12379.775,618.98875,1.615538246858283,67855.309,321.58914218009477,3.1095577208262366,81434,0.3,1.5,0.6,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,11599,17524,15,20,12,stop,False,11553.343,577.66715,1.7311006866151208,17526.784,1168.4522666666667,0.8558329925216172,29123,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,11597,21295,23,20,12,stop,False,11552.941,577.64705,1.731160922573741,21295.967,925.9116086956521,1.0800166998756149,32892,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,11599,21703,24,20,12,stop,False,11552.201,577.61005,1.7312718156479445,21705.832,904.4096666666666,1.105693621880055,33303,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,11599,21703,24,20,12,stop,False,11552.558,577.6279000000001,1.7312183154587926,21705.855,904.410625,1.1056924502628438,33303,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,11586,21703,24,20,12,stop,False,11553.689,577.68445,1.7310488450918142,21704.746,904.3644166666667,1.1057489454149798,33289,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,22503,10988,24,20,12,stop,False,10909.833,545.49165,1.8332086293163241,10988.966,457.87358333333333,2.1840089413326056,33492,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,22496,10988,24,20,12,stop,False,10910.23,545.5115,1.8331419227642316,10988.948,457.87283333333335,2.1840125187597574,33484,0.3,1.5,0.5,6914.6
vanilla,46,1,3,8,1,granite-4.1-8b-q4_k_m,vanilla,short,22490,10988,24,20,12,stop,False,10910.641,545.53205,1.8330728689542621,10988.883,457.870125,2.184025437344269,33478,0.3,1.5,0.5,6914.6
turboquant,46,1,1,1,1,granite-4.1-8b-q4_k_m,turboquant,long,13570,111682,798,160,9,stop,False,13550.047,84.68779375,11.808077123274924,111683.324,139.9540401002506,7.145202805747437,125253,3.6,27.2,0.0,5765.6
